Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
0.0,0.0,0.0,0.0,49.16,2.0,0.032,41.0,0.0
0.0,0.0,0.0,0.0,64.03,3.0,0.095,97.0,1.03
0.0,1.0,0.0,1.0,40.97,42.0,2.5091,373.0,6.17
0.0,0.0,0.0,0.0,1.32,10.0,0.0073,92.0,1.09
0.0,0.0,0.0,0.0,21.08,1.0,0.0053,93.0,1.08
0.0,0.0,0.0,0.0,40.73,5.0,0.0916,76.0,3.95
0.0,0.0,0.0,0.0,31.83,22.0,1.0213,142.0,7.75
0.0,1.0,0.0,0.0,52.89,13.0,0.1662,214.0,2.8
0.0,0.0,0.0,0.0,63.55,2.0,0.1769,54.0,0.0
0.0,0.0,0.0,0.0,9.27,1.0,0.0052,92.0,1.09
0.0,0.0,0.0,0.0,29.73,8.0,0.3601,127.0,2.36
0.0,0.0,0.0,1.0,31.3,4.0,0.1777,134.0,1.49
0.0,2.0,0.0,2.0,30.82,83.0,4.7543,713.0,6.45
0.0,0.0,0.0,0.0,14.84,2.0,0.0105,95.0,2.11
0.0,0.0,0.0,-1.0,25.33,71.0,2.5526,220.0,5.91
0.0,0.0,0.0,0.0,62.01,3.0,0.0713,133.0,0.75
0.0,0.0,0.0,0.0,34.16,7.0,0.3121,149.0,1.34
0.0,1.0,0.0,0.0,66.19,12.0,0.6001,271.0,1.85
0.0,0.0,0.0,0.0,39.93,10.0,0.9028,158.0,4.43
0.0,0.0,0.0,0.0,53.09,3.0,0.0367,80.0,1.25
0.0,0.0,0.0,0.0,66.33,6.0,0.1813,92.0,2.17
0.0,0.0,0.0,0.0,39.08,7.0,0.4727,131.0,3.82
0.0,0.0,0.0,0.0,24.13,30.0,1.689,271.0,5.17
0.0,0.0,0.0,0.0,11.45,2.0,0.0096,163.0,0.61
0.0,0.0,0.0,0.0,95.83,1.0,0.0319,57.0,0.0
0.0,0.0,0.0,0.0,56.34,13.0,0.2828,121.0,1.65
0.0,0.0,0.0,0.0,55.53,2.0,0.0392,80.0,2.5
0.0,0.0,0.0,0.0,30.97,2.0,0.1046,112.0,0.89
0.0,0.0,0.0,1.0,25.41,22.0,0.871,216.0,4.63
0.0,0.0,0.0,0.0,60.91,5.0,0.1193,86.0,1.16
0.0,0.0,0.0,0.0,29.72,11.0,0.0826,101.0,4.95
0.0,0.0,0.0,0.0,37.76,13.0,0.5332,195.0,3.08
0.0,0.0,0.0,0.0,25.41,5.0,0.0448,107.0,0.93
0.0,0.0,0.0,0.0,52.05,2.0,0.0414,103.0,0.0
0.0,0.0,0.0,0.0,52.34,6.0,0.1108,131.0,1.53
0.0,1.0,0.0,0.0,54.33,3.0,0.172,93.0,0.0
0.0,0.0,0.0,0.0,54.3,4.0,0.0947,80.0,1.25
0.0,0.0,0.0,0.0,42.96,4.0,0.0377,127.0,1.57
0.0,0.0,0.0,0.0,51.59,9.0,0.1728,172.0,1.74
0.0,0.0,0.0,0.0,94.45,1.0,0.0902,52.0,1.92
0.0,0.0,0.0,0.0,21.62,28.0,0.3482,100.0,2.0
0.0,0.0,0.0,0.0,98.61,1.0,0.1063,67.0,0.0
0.0,0.0,0.0,0.0,41.8,4.0,0.2076,114.0,1.75
